activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
reading,reward,1558669361423,Fri May 24 09:12:41 GMT+05:30 2019,1558672998302,Fri May 24 10:13:18 GMT+05:30 2019,3636879,1 h 
other personal tasks,Personal Tasks,1558672998302,Fri May 24 10:13:18 GMT+05:30 2019,1558674738302,Fri May 24 10:42:18 GMT+05:30 2019,1740000,29 min
other personal tasks,Personal Tasks,1558674738302,Fri May 24 10:42:18 GMT+05:30 2019,1558676238302,Fri May 24 11:07:18 GMT+05:30 2019,1500000,25 min
memorizing,studying,1558676238302,Fri May 24 11:07:18 GMT+05:30 2019,1558677954664,Fri May 24 11:35:54 GMT+05:30 2019,1716362,28 min
qns,studying,1558677954664,Fri May 24 11:35:54 GMT+05:30 2019,1558678906416,Fri May 24 11:51:46 GMT+05:30 2019,951752,15 min
internet time waste,Wasted Time,1558678906416,Fri May 24 11:51:46 GMT+05:30 2019,1558679417069,Fri May 24 12:00:17 GMT+05:30 2019,510653,8 min
qns,studying,1558679417069,Fri May 24 12:00:17 GMT+05:30 2019,1558680080500,Fri May 24 12:11:20 GMT+05:30 2019,663431,11 min
Eating,Eating,1558680080500,Fri May 24 12:11:20 GMT+05:30 2019,1558683612065,Fri May 24 13:10:12 GMT+05:30 2019,3531565,58 min
qns,studying,1558683612065,Fri May 24 13:10:12 GMT+05:30 2019,1558689581552,Fri May 24 14:49:41 GMT+05:30 2019,5969487,1 h 39 min
qns,studying,1558689581552,Fri May 24 14:49:41 GMT+05:30 2019,1558691261552,Fri May 24 15:17:41 GMT+05:30 2019,1680000,28 min
internet time waste,Wasted Time,1558691261552,Fri May 24 15:17:41 GMT+05:30 2019,1558695257683,Fri May 24 16:24:17 GMT+05:30 2019,3996131,1 h 6 min
sleeping in the day,Rest,1558695257683,Fri May 24 16:24:17 GMT+05:30 2019,1558697800148,Fri May 24 17:06:40 GMT+05:30 2019,2542465,42 min
internet time waste,Wasted Time,1558697800148,Fri May 24 17:06:40 GMT+05:30 2019,1558698580148,Fri May 24 17:19:40 GMT+05:30 2019,780000,13 min
Break,Health,1558698580148,Fri May 24 17:19:40 GMT+05:30 2019,1558698958527,Fri May 24 17:25:58 GMT+05:30 2019,378379,6 min
qns,studying,1558698958527,Fri May 24 17:25:58 GMT+05:30 2019,1558699978527,Fri May 24 17:42:58 GMT+05:30 2019,1020000,17 min
internet time waste,Wasted Time,1558699978527,Fri May 24 17:42:58 GMT+05:30 2019,1558700542601,Fri May 24 17:52:22 GMT+05:30 2019,564074,9 min
qns,studying,1558700542601,Fri May 24 17:52:22 GMT+05:30 2019,1558704322601,Fri May 24 18:55:22 GMT+05:30 2019,3780000,1 h 3 min
internet time waste,Wasted Time,1558704322601,Fri May 24 18:55:22 GMT+05:30 2019,1558707562601,Fri May 24 19:49:22 GMT+05:30 2019,3240000,54 min
Break,Health,1558707562601,Fri May 24 19:49:22 GMT+05:30 2019,1558708192275,Fri May 24 19:59:52 GMT+05:30 2019,629674,10 min
Eating,Eating,1558708192275,Fri May 24 19:59:52 GMT+05:30 2019,1558710496152,Fri May 24 20:38:16 GMT+05:30 2019,2303877,38 min
Break,Health,1558710496152,Fri May 24 20:38:16 GMT+05:30 2019,1558711205736,Fri May 24 20:50:05 GMT+05:30 2019,709584,11 min
qns,studying,1558711205736,Fri May 24 20:50:05 GMT+05:30 2019,1558720763119,Fri May 24 23:29:23 GMT+05:30 2019,9557383,2 h 39 min
Break,Health,1558720763119,Fri May 24 23:29:23 GMT+05:30 2019,1558721966323,Fri May 24 23:49:26 GMT+05:30 2019,1203204,20 min
qns,studying,1558721966323,Fri May 24 23:49:26 GMT+05:30 2019,1558728189716,Sat May 25 01:33:09 GMT+05:30 2019,6223393,1 h 43 min
internet time waste,Wasted Time,1558728189716,Sat May 25 01:33:09 GMT+05:30 2019,1558729140341,Sat May 25 01:49:00 GMT+05:30 2019,950625,15 min
Sleep,Rest,1558729140341,Sat May 25 01:49:00 GMT+05:30 2019,1558754010835,Sat May 25 08:43:30 GMT+05:30 2019,24870494,6 h 54 min
morning routine,Chores,1558754010835,Sat May 25 08:43:30 GMT+05:30 2019,1558754370835,Sat May 25 08:49:30 GMT+05:30 2019,360000,6 min
qns,studying,1558754370835,Sat May 25 08:49:30 GMT+05:30 2019,1558755771612,Sat May 25 09:12:51 GMT+05:30 2019,1400777,23 min
Eating,Eating,1558755771612,Sat May 25 09:12:51 GMT+05:30 2019,1558757112866,Sat May 25 09:35:12 GMT+05:30 2019,1341254,22 min
shower,Chores,1558757112866,Sat May 25 09:35:12 GMT+05:30 2019,1558758337347,Sat May 25 09:55:37 GMT+05:30 2019,1224481,20 min
qns,studying,1558758337347,Sat May 25 09:55:37 GMT+05:30 2019,1558759897627,Sat May 25 10:21:37 GMT+05:30 2019,1560280,26 min
memorizing,studying,1558759897627,Sat May 25 10:21:37 GMT+05:30 2019,1558761682861,Sat May 25 10:51:22 GMT+05:30 2019,1785234,29 min
qns,studying,1558761682861,Sat May 25 10:51:22 GMT+05:30 2019,1558764796988,Sat May 25 11:43:16 GMT+05:30 2019,3114127,51 min
wasting time ,Wasted Time,1558764796988,Sat May 25 11:43:16 GMT+05:30 2019,1558766836781,Sat May 25 12:17:16 GMT+05:30 2019,2039793,33 min
qns,studying,1558766836781,Sat May 25 12:17:16 GMT+05:30 2019,1558767759156,Sat May 25 12:32:39 GMT+05:30 2019,922375,15 min
Eating,Eating,1558767759156,Sat May 25 12:32:39 GMT+05:30 2019,1558769139156,Sat May 25 12:55:39 GMT+05:30 2019,1380000,23 min
internet time waste,Wasted Time,1558769139156,Sat May 25 12:55:39 GMT+05:30 2019,1558770941191,Sat May 25 13:25:41 GMT+05:30 2019,1802035,30 min
sleeping in the day,Rest,1558770941191,Sat May 25 13:25:41 GMT+05:30 2019,1558776489172,Sat May 25 14:58:09 GMT+05:30 2019,5547981,1 h 32 min
